iter	Passed	Remaining
0	155	155346
1	156	77885
2	156	52058
3	158	39388
4	158	31621
5	160	26594
6	162	22993
7	163	20221
8	163	18055
9	165	16342
10	166	14943
11	167	13771
12	168	12783
13	168	11900
14	169	11155
15	171	10517
16	172	9955
17	173	9460
18	174	9007
19	175	8596
20	176	8226
21	177	7875
22	177	7552
23	178	7257
24	179	6986
25	179	6734
26	180	6501
27	180	6283
28	181	6080
29	182	5891
30	182	5714
31	183	5546
32	183	5391
33	184	5244
34	185	5109
35	186	4991
36	187	4877
37	188	4768
38	189	4660
39	189	4557
40	190	4456
41	191	4361
42	191	4268
43	192	4179
44	192	4094
45	193	4012
46	193	3933
47	194	3858
48	195	3787
49	195	3718
50	196	3652
51	196	3588
52	197	3526
53	197	3466
54	198	3410
55	199	3357
56	200	3310
57	201	3266
58	202	3222
59	202	3177
60	203	3134
61	204	3094
62	205	3052
63	205	3010
64	206	2970
65	207	2931
66	207	2893
67	208	2856
68	209	2820
69	209	2784
70	210	2750
71	210	2718
72	211	2685
73	212	2653
74	212	2622
75	213	2593
76	214	2567
77	215	2543
78	216	2519
79	216	2495
80	217	2470
81	218	2446
82	218	2417
83	219	2393
84	220	2368
85	220	2344
86	221	2320
87	221	2297
88	222	2275
89	222	2252
90	223	2230
91	223	2209
92	224	2188
93	224	2168
94	225	2147
95	226	2128
96	226	2108
97	227	2089
98	227	2071
99	228	2055
100	229	2039
101	230	2025
102	230	2011
103	231	1997
104	232	1982
105	233	1967
106	233	1952
107	234	1936
108	235	1921
109	235	1907
110	236	1892
111	236	1877
112	237	1863
113	237	1849
114	238	1835
115	239	1821
116	239	1807
117	239	1793
118	240	1780
119	241	1768
120	241	1755
121	242	1742
122	242	1730
123	243	1719
124	244	1709
125	245	1699
126	245	1689
127	246	1680
128	247	1670
129	248	1659
130	248	1649
131	249	1639
132	249	1628
133	250	1618
134	250	1607
135	251	1597
136	252	1588
137	252	1578
138	253	1568
139	253	1559
140	254	1550
141	254	1539
142	255	1530
143	255	1521
144	256	1512
145	257	1503
146	257	1495
147	258	1488
148	259	1481
149	260	1475
150	261	1468
151	262	1461
152	262	1455
153	263	1448
154	264	1439
155	264	1432
156	265	1424
157	265	1416
158	266	1409
159	266	1401
160	267	1392
161	267	1385
162	268	1378
163	268	1370
164	269	1363
165	270	1357
166	270	1351
167	271	1344
168	272	1337
169	272	1331
170	273	1325
171	274	1320
172	275	1315
173	275	1309
174	276	1304
175	277	1299
176	278	1292
